Index,Year,Location,Location Code,Sex,Age,Value
353,1990,Sub-Saharan Africa,947,Male,0,536017
354,1990,Sub-Saharan Africa,947,Male,5,564394
355,1990,Sub-Saharan Africa,947,Male,10,560092
356,1990,Sub-Saharan Africa,947,Male,15,634816
357,1990,Sub-Saharan Africa,947,Male,20,764215
358,1990,Sub-Saharan Africa,947,Male,25,832195
359,1990,Sub-Saharan Africa,947,Male,30,742743
360,1990,Sub-Saharan Africa,947,Male,35,614420
361,1990,Sub-Saharan Africa,947,Male,40,483038
362,1990,Sub-Saharan Africa,947,Male,45,372046
363,1990,Sub-Saharan Africa,947,Male,50,293069
364,1990,Sub-Saharan Africa,947,Male,55,214548
365,1990,Sub-Saharan Africa,947,Male,60,173510
366,1990,Sub-Saharan Africa,947,Male,65,107873
367,1990,Sub-Saharan Africa,947,Male,70,65303
368,1990,Sub-Saharan Africa,947,Male,75,90138
369,1990,Sub-Saharan Africa,947,Female,0,547344
370,1990,Sub-Saharan Africa,947,Female,5,574334
371,1990,Sub-Saharan Africa,947,Female,10,570311
372,1990,Sub-Saharan Africa,947,Female,15,656064
373,1990,Sub-Saharan Africa,947,Female,20,751296
374,1990,Sub-Saharan Africa,947,Female,25,728843
375,1990,Sub-Saharan Africa,947,Female,30,597871
376,1990,Sub-Saharan Africa,947,Female,35,460870
377,1990,Sub-Saharan Africa,947,Female,40,348158
378,1990,Sub-Saharan Africa,947,Female,45,262423
379,1990,Sub-Saharan Africa,947,Female,50,209807
380,1990,Sub-Saharan Africa,947,Female,55,159495
381,1990,Sub-Saharan Africa,947,Female,60,141173
382,1990,Sub-Saharan Africa,947,Female,65,92568
383,1990,Sub-Saharan Africa,947,Female,70,57315
384,1990,Sub-Saharan Africa,947,Female,75,80052
385,1995,Sub-Saharan Africa,947,Both,0,1012625
386,1995,Sub-Saharan Africa,947,Both,5,1158292
387,1995,Sub-Saharan Africa,947,Both,10,1199559
388,1995,Sub-Saharan Africa,947,Both,15,1358836
389,1995,Sub-Saharan Africa,947,Both,20,1634823
390,1995,Sub-Saharan Africa,947,Both,25,1657725
391,1995,Sub-Saharan Africa,947,Both,30,1455735
392,1995,Sub-Saharan Africa,947,Both,35,1177974
393,1995,Sub-Saharan Africa,947,Both,40,931182
394,1995,Sub-Saharan Africa,947,Both,45,729249
395,1995,Sub-Saharan Africa,947,Both,50,582746
396,1995,Sub-Saharan Africa,947,Both,55,448670
397,1995,Sub-Saharan Africa,947,Both,60,359051
398,1995,Sub-Saharan Africa,947,Both,65,246182
399,1995,Sub-Saharan Africa,947,Both,70,147455
400,1995,Sub-Saharan Africa,947,Both,75,175333
401,1995,Sub-Saharan Africa,947,Male,0,505790
402,1995,Sub-Saharan Africa,947,Male,5,580310
403,1995,Sub-Saharan Africa,947,Male,10,603217
